Borough,Block,Lot,Address,ZIP Code,Final 18/19 Actual AV,Tax Class,Bldg. Class,RPIE Year,Status,X Coordinate,Y Coordinate,Latitude,Longitude,Community District,City Council District,Census Tract,BIN,BBL,NTA
Manhattan,162,1046,7 CHATHAM SQUARE  #801,10038,52788,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1047,7 CHATHAM SQUARE  #803,10038,121401,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1050,7 CHATHAM SQUARE  #507,10038,51279,4,RB,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1052,7 CHATHAM SQUARE  #3,10038,69699,4,RK,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1053,7 CHATHAM SQUARE  #4,10038,68017,4,RK,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1054,7 CHATHAM SQUARE  #5,10038,55459,4,RK,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1057,7 CHATHAM SQUARE  #8,10038,60638,4,RK,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,162,1058,7 CHATHAM SQUARE  #9,10038,61309,4,RK,2017,Nonfiler,984779,199294,40.713693,-73.998092,103,1,29,1001726,1001627501,Chinatown
Manhattan,164,26,47 MOTT STREET,10013,1575000,2,C7,2017,Nonfiler,984618,199897,40.715348,-73.998673,103,1,29,1001815,1001640026,Chinatown
Manhattan,164,61,191 WORTH STREET,10013,2054250,4,W2,2017,Nonfiler,984379,199379,40.713926,-73.999535,103,1,29,1001827,1001640061,Chinatown
Manhattan,164,62,20 MULBERRY STREET,10013,2105550,2,C7,2017,Nonfiler,984370,199501,40.714261,-73.999567,103,1,29,1077118,1001640062,Chinatown
Manhattan,170,6,346 BROADWAY,10013,26496990,2,D6,2017,Nonfiler,983096,200388,40.716696,-74.004163,101,1,31,1001835,1001700006,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,171,7,360 BROADWAY,10013,2849271,2B,D7,2017,Nonfiler,983236,200604,40.717289,-74.003658,101,1,31,1001841,1001710007,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,171,1001,356 BROADWAY  #C1,10013,749038,4,RB,2017,Nonfiler,,,,,,,,,,
Manhattan,173,2,83 WORTH STREET,10013,2831850,4,O5,2017,Nonfiler,982813,200351,40.716594,-74.005184,101,1,33,1001873,1001730002,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,175,5,80 FRANKLIN STREET,10013,552654,2A,S9,2017,Nonfiler,982957,200856,40.71798,-74.004664,101,1,33,1001921,1001750005,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,175,7,84 FRANKLIN STREET,10013,883350,4,L9,2017,Nonfiler,982920,200879,40.718043,-74.004798,101,1,33,1001923,1001750007,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,175,13,273 CHURCH STREET,10013,1013400,4,K4,2017,Nonfiler,982838,201059,40.718537,-74.005094,101,1,33,1001925,1001750013,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,175,1001,377 BROADWAY  #A,10013,403849,4,RB,2017,Nonfiler,,,,,,,,,,
Manhattan,175,1002,377 BROADWAY  #B,10013,403849,4,RB,2017,Nonfiler,,,,,,,,,,
Manhattan,175,1016,377 BROADWAY  #A,10013,526954,4,RB,2017,Nonfiler,,,,,,,,,,
Manhattan,175,1017,377 BROADWAY  #B,10013,526954,4,RB,2017,Nonfiler,,,,,,,,,,
Manhattan,176,12,35 WORTH STREET,10013,1221300,4,O2,2017,Nonfiler,982234,200700,40.717552,-74.007273,101,1,33,1001962,1001760012,SoHo-TriBeCa-Civic Center-Little Italy
Manhattan,176,17,179 WEST BROADWAY,10013,695250,4,K2,2017,Nonfiler,982245,200873,40.718027,-74.007233,101,1,33,1001966,1001760017,SoHo-TriBeCa-Civic Center-Little Italy
